"","nuvirdi","teg_eign","ibm2","fjbilsk","fjherb","fjstof","matssvaedi","nafn_baer"
"3200",14517,"Íbúðareign",83.9,0,2,1,6040,"Akureyri: Glerárhverfi"
"3201",26761,"Íbúðareign",116.4,0,3,1,6010,"Akureyri: Naustahverfi"
"3202",9300,"Íbúðareign",54.3,0,1,1,6040,"Akureyri: Glerárhverfi"
"3203",18432,"Íbúðareign",83.2,0,4,1,320,"Kópavogur: Austurbær"
"3204",32773,"Íbúðareign",99.3,1,2,1,320,"Kópavogur: Austurbær"
"3205",19331,"Íbúðareign",56,0,1,1,400,"Seltjarnarnes"
"3206",30940,"Íbúðareign",109.5,1,1,1,270,"Norðlingaholt"
"3207",27485,"Íbúðareign",99.6,1,3,1,72,"Hagar/Melar vestan Hofsvallagötu"
"3208",36297,"Íbúðareign",114.3,0,2,1,70,"Melar: Að sjó"
"3209",22568,"Íbúðareign",96.1,0,3,1,100,"Laugarneshverfi/Vogar"
"3210",16798,"Íbúðareign",66,1,1,1,72,"Hagar/Melar vestan Hofsvallagötu"
"3211",27200,"Íbúðareign",111.1,1,3,1,180,"Grafarholt"
"3212",22986,"Íbúðareign",69.2,0,1,1,72,"Hagar/Melar vestan Hofsvallagötu"
"3213",27300,"Íbúðareign",121,0,2,1,90,"Holt/Tún"
"3214",22108,"Íbúðareign",91.4,0,2,1,630,"Hafnarfjörður - Vellir"
"3215",40614,"Raðhús",251.8,0,5,2,600,"Hafnarfjörður"
"3216",14769,"Íbúðareign",62.8,0,1,1,120,"Grafarvogur: Hamrar, Foldir, Hús"
"3217",31789,"Íbúðareign",118.7,0,3,2,90,"Holt/Tún"
"3218",19190,"Íbúðareign",60.4,0,1,1,20,"Miðbær: Frá Tjörn að Snorrabraut"
"3219",28056,"Íbúðareign",87,1,1,2,100,"Laugarneshverfi/Vogar"
"3220",26886,"Íbúðareign",98.8,0,2,1,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"3221",42700,"Einbýlishús",158.1,0,4,2,120,"Grafarvogur: Hamrar, Foldir, Hús"
"3222",27092,"Íbúðareign",92.3,1,2,1,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"3223",52191,"Einbýlishús",153.8,0,3,1,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"3224",18600,"Íbúðareign",76,0,2,1,80,"Hlíðar"
"3225",25958,"Íbúðareign",90.3,0,2,1,70,"Melar: Að sjó"
"3226",3000,"Íbúðareign",70.7,0,2,1,6140,"Dalvík"
"3227",14800,"Íbúðareign",84.2,0,2,1,6030,"Akureyri: Efri brekka"
"3228",17358,"Íbúðareign",101.3,0,3,1,6030,"Akureyri: Efri brekka"
"3229",22888,"Parhús",119.5,0,4,1,8150,"Vík"
"3230",7800,"Íbúðareign",92,0,3,1,2040,"Njarðvík"
"3231",5500,"Íbúðareign",74.2,0,2,2,2050,"Keflavík"
"3232",42324,"Íbúðareign",123.2,2,2,1,600,"Hafnarfjörður"
"3233",19029,"Íbúðareign",93.5,0,2,1,600,"Hafnarfjörður"
"3234",27549,"Íbúðareign",118.4,1,3,1,351,"Kópavogur: Kórar"
"3235",52172,"Einbýlishús",168.6,0,4,2,330,"Kópavogur: Hjallar, Smárar"
"3236",23354,"Íbúðareign",94.4,0,2,2,300,"Kópavogur: Vesturbær"
"3237",14448,"Íbúðareign",57.5,0,2,1,100,"Laugarneshverfi/Vogar"
"3238",33029,"Íbúðareign",107.8,0,3,2,100,"Laugarneshverfi/Vogar"
"3239",21993,"Íbúðareign",86.7,1,2,1,130,"Grafarvogur: Rimar, Engi, Víkur, Borgir"
"3240",22260,"Íbúðareign",92.1,0,3,1,280,"Fossvogur"
"3241",28001,"Íbúðareign",80.2,0,1,2,11,"Vesturbær: Vestan Bræðraborgarstígs"
"3242",14702,"Íbúðareign",51.1,0,1,1,100,"Laugarneshverfi/Vogar"
"3243",12329,"Íbúðareign",48.3,0,1,1,280,"Fossvogur"
"3244",25202,"Íbúðareign",113.4,0,2,2,100,"Laugarneshverfi/Vogar"
"3245",28976,"Íbúðareign",79.1,1,2,1,100,"Laugarneshverfi/Vogar"
"3246",15223,"Íbúðareign",90.5,0,3,1,91,"Háaleiti/Skeifa"
"3247",24944,"Íbúðareign",116.3,0,3,1,3000,"Akranes"
"3248",21888,"Einbýlishús",195.2,0,5,1,3030,"Borgarbyggð"
"3249",26882,"Einbýlishús",131.3,0,4,1,8030,"Þorlákshöfn"
"3250",15554,"Raðhús",91.1,0,2,1,8010,"Selfoss"
"3251",22716,"Einbýlishús",65.8,0,3,1,8110,"Eyrarbakki"
"3252",33848,"Íbúðareign",125.5,1,2,1,600,"Hafnarfjörður"
"3253",45748,"Raðhús",152.9,0,4,1,340,"Kópavogur: Lindir, Salir"
